defect_id,department,system_source,station_code,station_name,chainage_km,track_id,defect_category,defect_description,asset_age_years,overdue_days,hotspot_temp_celsius,estimated_repair_hours,power_block_required,tower_wagon_required,safety_risk_score,target_mpi_score,urgency_level
TDMS-DEF-0017,ELECTRICAL_TRD,TDMS,MSF,Chennai Fort,2.36,LINE_4_MAIN_UP,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,14.9,4,77.3,2.5,1,0,8,56.4,HIGH_PRIORITY
TDMS-DEF-0018,ELECTRICAL_TRD,TDMS,MS,Chennai Egmore,3.98,LINE_2_SUBURBAN_UP,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,2.6,5,83.6,2.0,1,0,5,39.1,MEDIUM_PLANNED
TDMS-DEF-0019,ELECTRICAL_TRD,TDMS,PV,Pallavaram,23.6,LINE_2_SUBURBAN_UP,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,2.4,23,58.6,3.5,1,1,10,69.1,CRITICAL_EMERGENCY
TDMS-DEF-0020,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.53,LINE_2_SUBURBAN_UP,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,12.0,4,89.5,1.5,1,0,3,34.0,ROUTINE_CYCLE
TDMS-DEF-0021,ELECTRICAL_TRD,TDMS,CMP,Chromepet,24.66,LINE_1_SUBURBAN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,16.9,7,82.8,1.5,1,0,4,41.0,MEDIUM_PLANNED
TDMS-DEF-0022,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.75,LINE_2_SUBURBAN_UP,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,13.3,15,42.3,2.5,1,0,7,48.0,MEDIUM_PLANNED
TDMS-DEF-0023,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.55,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,15.9,5,58.9,1.5,1,0,2,22.0,ROUTINE_CYCLE
TDMS-DEF-0024,ELECTRICAL_TRD,TDMS,SP,Saidapet,12.76,LINE_3_MAIN_DN,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,8.4,9,42.6,2.5,1,1,8,46.9,MEDIUM_PLANNED
TDMS-DEF-0025,ELECTRICAL_TRD,TDMS,VDR,Vandalur,34.72,3RD_LINE_BIDIRECTIONAL,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,5.7,19,75.0,1.5,1,0,3,37.6,MEDIUM_PLANNED
TDMS-DEF-0026,ELECTRICAL_TRD,TDMS,POTI,Potheri,44.27,3RD_LINE_BIDIRECTIONAL,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,4.0,29,70.6,2.0,1,0,5,52.6,MEDIUM_PLANNED
TDMS-DEF-0027,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.19,3RD_LINE_BIDIRECTIONAL,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,17.7,1,72.1,2.5,1,0,6,43.9,MEDIUM_PLANNED
TDMS-DEF-0028,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.42,LINE_3_MAIN_DN,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,13.8,26,67.0,2.0,1,0,8,68.3,HIGH_PRIORITY
TDMS-DEF-0029,ELECTRICAL_TRD,TDMS,PRGL,Perungalathur,33.26,3RD_LINE_BIDIRECTIONAL,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,12.3,6,86.0,1.0,1,0,4,39.4,MEDIUM_PLANNED
TDMS-DEF-0030,ELECTRICAL_TRD,TDMS,GDY,Guindy,15.54,LINE_4_MAIN_UP,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),9.6,2,36.4,3.0,1,1,8,40.7,MEDIUM_PLANNED
TDMS-DEF-0031,ELECTRICAL_TRD,TDMS,MSF,Chennai Fort,2.04,LINE_2_SUBURBAN_UP,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,13.6,6,44.2,2.5,1,1,8,47.4,MEDIUM_PLANNED
TDMS-DEF-0032,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.06,LINE_1_SUBURBAN_DN,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,4.1,39,65.8,2.5,1,1,8,73.2,HIGH_PRIORITY
TDMS-DEF-0033,ELECTRICAL_TRD,TDMS,PV,Pallavaram,22.59,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,7.3,6,64.1,1.5,1,0,3,25.9,ROUTINE_CYCLE
TDMS-DEF-0034,ELECTRICAL_TRD,TDMS,POTI,Potheri,44.17,LINE_2_SUBURBAN_UP,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,7.8,3,79.9,1.0,1,0,4,33.7,ROUTINE_CYCLE
TDMS-DEF-0035,ELECTRICAL_TRD,TDMS,STM,St. Thomas Mount,17.77,LINE_1_SUBURBAN_DN,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),13.5,10,46.6,3.0,1,1,9,55.9,CRITICAL_EMERGENCY
TDMS-DEF-0036,ELECTRICAL_TRD,TDMS,MBM,Mambalam,11.87,LINE_3_MAIN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,13.4,2,46.2,1.5,1,0,2,15.1,ROUTINE_CYCLE
TDMS-DEF-0037,ELECTRICAL_TRD,TDMS,GDY,Guindy,14.94,LINE_1_SUBURBAN_DN,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,17.3,0,76.9,2.5,1,0,7,49.5,MEDIUM_PLANNED
TDMS-DEF-0038,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,19.4,LINE_3_MAIN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,5.1,1,44.2,1.5,1,0,3,15.5,ROUTINE_CYCLE
TDMS-DEF-0039,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.1,LINE_2_SUBURBAN_UP,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),3.2,1,53.4,3.0,1,1,8,42.5,MEDIUM_PLANNED
TDMS-DEF-0040,ELECTRICAL_TRD,TDMS,SKL,Singaperumal Koil,52.09,3RD_LINE_BIDIRECTIONAL,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,9.1,1,67.6,2.5,1,1,8,49.1,MEDIUM_PLANNED
TDMS-DEF-0041,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.47,LINE_3_MAIN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,4.3,1,45.5,1.5,1,0,2,10.6,ROUTINE_CYCLE
TDMS-DEF-0042,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,9.9,10,40.2,1.5,1,0,2,17.5,ROUTINE_CYCLE
TDMS-DEF-0043,ELECTRICAL_TRD,TDMS,MKK,Kodambakkam,9.91,LINE_3_MAIN_DN,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,5.6,2,89.2,3.5,1,1,10,64.9,CRITICAL_EMERGENCY
TDMS-DEF-0044,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.32,LINE_1_SUBURBAN_DN,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,12.2,4,60.4,2.0,1,0,8,50.3,MEDIUM_PLANNED
TDMS-DEF-0045,ELECTRICAL_TRD,TDMS,VDR,Vandalur,35.03,LINE_1_SUBURBAN_DN,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),12.4,22,53.3,3.0,1,1,8,60.8,HIGH_PRIORITY
TDMS-DEF-0046,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,19.7,LINE_3_MAIN_DN,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),16.4,6,81.9,3.0,1,1,10,69.8,CRITICAL_EMERGENCY
TDMS-DEF-0047,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.78,LINE_4_MAIN_UP,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,1.3,11,86.2,1.5,1,0,3,33.6,ROUTINE_CYCLE
TDMS-DEF-0048,ELECTRICAL_TRD,TDMS,STM,St. Thomas Mount,17.14,LINE_1_SUBURBAN_DN,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,17.5,1,79.1,2.5,1,0,9,60.9,CRITICAL_EMERGENCY
TDMS-DEF-0049,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.18,LINE_2_SUBURBAN_UP,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,15.6,2,59.2,2.0,1,0,4,29.9,ROUTINE_CYCLE
TDMS-DEF-0050,ELECTRICAL_TRD,TDMS,MKK,Kodambakkam,9.73,LINE_4_MAIN_UP,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,13.6,0,43.8,2.0,1,0,7,38.1,MEDIUM_PLANNED
TDMS-DEF-0051,ELECTRICAL_TRD,TDMS,POTI,Potheri,43.7,LINE_1_SUBURBAN_DN,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,1.4,1,80.3,2.0,1,0,9,54.9,CRITICAL_EMERGENCY
TDMS-DEF-0052,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.17,LINE_2_SUBURBAN_UP,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,7.6,3,60.7,2.5,1,1,8,47.9,MEDIUM_PLANNED
TDMS-DEF-0053,ELECTRICAL_TRD,TDMS,TLM,Tirusulam,20.96,LINE_4_MAIN_UP,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,9.9,1,71.6,2.0,1,0,8,50.6,MEDIUM_PLANNED
TDMS-DEF-0054,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.43,LINE_1_SUBURBAN_DN,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,6.8,0,63.7,2.0,1,0,7,41.3,MEDIUM_PLANNED
TDMS-DEF-0055,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,3RD_LINE_BIDIRECTIONAL,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,5.4,1,87.8,2.0,1,0,8,53.7,MEDIUM_PLANNED
TDMS-DEF-0056,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,20.49,LINE_1_SUBURBAN_DN,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,3.2,6,47.5,1.5,1,0,4,24.2,ROUTINE_CYCLE
TDMS-DEF-0057,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,20.46,LINE_3_MAIN_DN,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,5.7,2,85.6,2.5,1,0,9,58.9,CRITICAL_EMERGENCY
TDMS-DEF-0058,ELECTRICAL_TRD,TDMS,UPM,Urapakkam,37.32,LINE_1_SUBURBAN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,15.8,4,43.1,1.5,1,0,2,16.6,ROUTINE_CYCLE
TDMS-DEF-0059,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.1,LINE_4_MAIN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,10.1,7,39.9,1.5,1,0,2,15.4,ROUTINE_CYCLE
TDMS-DEF-0060,ELECTRICAL_TRD,TDMS,MMNK,Maraimalai Nagar,47.3,3RD_LINE_BIDIRECTIONAL,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,4.2,11,86.6,3.5,1,1,10,69.9,CRITICAL_EMERGENCY
TDMS-DEF-0061,ELECTRICAL_TRD,TDMS,MSC,Chetpet,6.09,LINE_2_SUBURBAN_UP,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,3.9,0,45.3,2.5,1,1,9,44.6,CRITICAL_EMERGENCY
TDMS-DEF-0062,ELECTRICAL_TRD,TDMS,MSF,Chennai Fort,2.29,LINE_4_MAIN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,1.8,16,73.3,1.5,1,0,3,33.4,ROUTINE_CYCLE
TDMS-DEF-0063,ELECTRICAL_TRD,TDMS,MS,Chennai Egmore,3.9,LINE_4_MAIN_UP,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,6.7,9,73.3,3.5,1,1,8,55.5,HIGH_PRIORITY
TDMS-DEF-0064,ELECTRICAL_TRD,TDMS,MS,Chennai Egmore,4.02,LINE_1_SUBURBAN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,6.1,0,60.7,2.0,1,0,6,35.1,MEDIUM_PLANNED
TDMS-DEF-0065,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.14,3RD_LINE_BIDIRECTIONAL,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,10.4,20,55.8,2.5,1,0,7,54.4,MEDIUM_PLANNED
TDMS-DEF-0066,ELECTRICAL_TRD,TDMS,TLM,Tirusulam,20.76,LINE_3_MAIN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,14.2,25,75.6,2.0,1,0,7,65.4,HIGH_PRIORITY
TDMS-DEF-0067,ELECTRICAL_TRD,TDMS,TLM,Tirusulam,20.91,LINE_3_MAIN_DN,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,12.4,0,53.9,2.5,1,0,7,40.6,MEDIUM_PLANNED
TDMS-DEF-0068,ELECTRICAL_TRD,TDMS,PV,Pallavaram,23.07,LINE_3_MAIN_DN,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,10.2,3,45.0,1.5,1,0,4,24.2,ROUTINE_CYCLE
TDMS-DEF-0069,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.55,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,3.9,16,76.8,1.5,1,0,3,35.3,MEDIUM_PLANNED
TDMS-DEF-0070,ELECTRICAL_TRD,TDMS,MMNK,Maraimalai Nagar,46.37,LINE_1_SUBURBAN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,11.6,13,81.3,1.5,1,0,4,42.6,MEDIUM_PLANNED
TDMS-DEF-0071,ELECTRICAL_TRD,TDMS,SKL,Singaperumal Koil,51.61,LINE_1_SUBURBAN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,5.1,2,86.0,1.5,1,0,4,33.7,ROUTINE_CYCLE
TDMS-DEF-0072,ELECTRICAL_TRD,TDMS,UPM,Urapakkam,37.89,LINE_2_SUBURBAN_UP,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,4.4,2,79.0,1.0,1,0,4,31.4,ROUTINE_CYCLE
TDMS-DEF-0073,ELECTRICAL_TRD,TDMS,GDY,Guindy,14.5,LINE_1_SUBURBAN_DN,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,6.9,4,35.6,1.0,1,0,1,5.7,ROUTINE_CYCLE
TDMS-DEF-0074,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,3RD_LINE_BIDIRECTIONAL,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,13.8,6,43.0,2.5,1,0,6,37.1,MEDIUM_PLANNED
TDMS-DEF-0075,ELECTRICAL_TRD,TDMS,NBK,Nungambakkam,8.24,LINE_2_SUBURBAN_UP,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,16.9,9,37.3,1.5,1,0,3,23.8,ROUTINE_CYCLE
TDMS-DEF-0076,ELECTRICAL_TRD,TDMS,MBM,Mambalam,10.68,LINE_3_MAIN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,1.2,4,46.8,2.0,1,0,5,26.8,ROUTINE_CYCLE
TDMS-DEF-0077,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,20.0,LINE_4_MAIN_UP,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),1.2,6,72.0,3.0,1,1,8,50.8,MEDIUM_PLANNED
TDMS-DEF-0078,ELECTRICAL_TRD,TDMS,POTI,Potheri,44.6,3RD_LINE_BIDIRECTIONAL,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,15.1,13,50.0,2.5,1,1,9,59.6,CRITICAL_EMERGENCY
TDMS-DEF-0079,ELECTRICAL_TRD,TDMS,PRGL,Perungalathur,32.18,3RD_LINE_BIDIRECTIONAL,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,6.9,0,72.2,1.0,1,0,1,13.9,ROUTINE_CYCLE
TDMS-DEF-0080,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.01,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,7.6,2,81.6,1.5,1,0,4,33.4,ROUTINE_CYCLE
TDMS-DEF-0081,ELECTRICAL_TRD,TDMS,CMP,Chromepet,25.76,LINE_1_SUBURBAN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,15.9,12,60.1,1.5,1,0,2,27.3,ROUTINE_CYCLE
TDMS-DEF-0082,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.09,LINE_3_MAIN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,3.1,22,44.0,2.0,1,0,6,44.3,MEDIUM_PLANNED
TDMS-DEF-0083,ELECTRICAL_TRD,TDMS,POTI,Potheri,44.38,3RD_LINE_BIDIRECTIONAL,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,7.8,7,53.8,2.0,1,0,4,28.7,ROUTINE_CYCLE
TDMS-DEF-0084,ELECTRICAL_TRD,TDMS,CMP,Chromepet,25.6,LINE_4_MAIN_UP,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,10.8,7,71.9,2.0,1,0,5,40.3,MEDIUM_PLANNED
TDMS-DEF-0085,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.1,LINE_2_SUBURBAN_UP,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,2.9,1,64.2,2.5,1,0,8,45.6,MEDIUM_PLANNED
TDMS-DEF-0086,ELECTRICAL_TRD,TDMS,MSC,Chetpet,5.94,LINE_3_MAIN_DN,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,9.5,5,58.1,2.5,1,0,8,49.2,MEDIUM_PLANNED
TDMS-DEF-0087,ELECTRICAL_TRD,TDMS,UPM,Urapakkam,36.83,3RD_LINE_BIDIRECTIONAL,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,17.1,7,47.3,2.5,1,1,9,55.4,CRITICAL_EMERGENCY
TDMS-DEF-0088,ELECTRICAL_TRD,TDMS,CMP,Chromepet,25.86,LINE_2_SUBURBAN_UP,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,15.0,2,69.2,2.0,1,0,6,42.7,MEDIUM_PLANNED
TDMS-DEF-0089,ELECTRICAL_TRD,TDMS,SKL,Singaperumal Koil,51.03,3RD_LINE_BIDIRECTIONAL,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,5.1,3,76.3,1.5,1,0,4,31.5,ROUTINE_CYCLE
TDMS-DEF-0090,ELECTRICAL_TRD,TDMS,PV,Pallavaram,23.29,LINE_1_SUBURBAN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,7.1,4,42.5,2.0,1,0,4,22.9,ROUTINE_CYCLE
TDMS-DEF-0091,ELECTRICAL_TRD,TDMS,MKK,Kodambakkam,9.71,LINE_4_MAIN_UP,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,11.1,0,45.1,2.5,1,0,8,42.5,MEDIUM_PLANNED
TDMS-DEF-0092,ELECTRICAL_TRD,TDMS,VDR,Vandalur,33.79,3RD_LINE_BIDIRECTIONAL,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,13.7,3,40.3,1.5,1,0,2,14.2,ROUTINE_CYCLE
TDMS-DEF-0093,ELECTRICAL_TRD,TDMS,VDR,Vandalur,34.5,LINE_1_SUBURBAN_DN,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,9.6,2,56.1,1.0,1,0,1,11.6,ROUTINE_CYCLE
TDMS-DEF-0094,ELECTRICAL_TRD,TDMS,POTI,Potheri,43.98,LINE_1_SUBURBAN_DN,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,14.3,3,56.7,1.5,1,0,4,29.3,ROUTINE_CYCLE
TDMS-DEF-0095,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,3RD_LINE_BIDIRECTIONAL,CATENARY_DROPPER_FATIGUE,Loose/broken flexible current droppers sparking under pantograph passage,7.9,1,49.5,2.0,1,0,6,33.2,ROUTINE_CYCLE
