defect_id,department,system_source,station_code,station_name,chainage_km,asset_id,asset_type,defect_category,defect_description,asset_age_years,overdue_days,operating_cycles_thousands,estimated_repair_hours,safety_risk_score,target_mpi_score,urgency_level
SMMS-DEF-0015,S_AND_T,SMMS,MN,Meenambakkam,19.79,SIG-MN-37,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),8.9,18,28.8,2.0,8,54.4,MEDIUM_PLANNED
SMMS-DEF-0016,S_AND_T,SMMS,TBM,Tambaram,29.63,SIG-TBM-70,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,1.0,11,139.7,2.5,8,51.2,MEDIUM_PLANNED
SMMS-DEF-0017,S_AND_T,SMMS,MMNK,Maraimalai Nagar,47.11,SIG-MMNK-57,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,14.9,5,131.7,1.5,9,56.5,CRITICAL_EMERGENCY
SMMS-DEF-0018,S_AND_T,SMMS,GI,Guduvancheri,40.87,SIG-GI-27,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,10.0,1,121.1,1.5,2,15.9,ROUTINE_CYCLE
SMMS-DEF-0019,S_AND_T,SMMS,MN,Meenambakkam,20.07,SIG-MN-10,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,11.5,1,313.4,1.5,8,56.1,HIGH_PRIORITY
SMMS-DEF-0020,S_AND_T,SMMS,TBM,Tambaram,29.06,SIG-TBM-39,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,4.1,2,120.6,1.5,9,49.3,CRITICAL_EMERGENCY
SMMS-DEF-0021,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),10.1,7,202.6,2.0,7,49.8,MEDIUM_PLANNED
SMMS-DEF-0022,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),1.0,12,197.3,2.0,9,59.9,CRITICAL_EMERGENCY
SMMS-DEF-0023,S_AND_T,SMMS,MBM,Mambalam,11.53,SIG-MBM-66,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,3.9,10,81.3,1.5,8,48.6,MEDIUM_PLANNED
SMMS-DEF-0024,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),13.8,3,190.7,2.0,9,57.5,CRITICAL_EMERGENCY
SMMS-DEF-0025,S_AND_T,SMMS,GI,Guduvancheri,40.73,SIG-GI-48,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,13.2,30,315.6,1.5,10,90.1,CRITICAL_EMERGENCY
SMMS-DEF-0026,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),8.6,13,195.5,2.0,9,63.6,CRITICAL_EMERGENCY
SMMS-DEF-0027,S_AND_T,SMMS,UPM,Urapakkam,37.68,SIG-UPM-73,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,1.2,8,120.0,1.5,3,22.9,ROUTINE_CYCLE
SMMS-DEF-0028,S_AND_T,SMMS,STM,St. Thomas Mount,17.32,SIG-STM-29,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,4.8,9,71.1,1.5,10,57.7,CRITICAL_EMERGENCY
SMMS-DEF-0029,S_AND_T,SMMS,MBM,Mambalam,11.09,SIG-MBM-69,ABS_SIGNAL_POST,SIGNAL_ASPECT_LED_DEGRADATION,Main aspect LED unit luminous intensity below safety threshold,13.8,5,186.5,1.0,6,43.8,MEDIUM_PLANNED
SMMS-DEF-0030,S_AND_T,SMMS,MSC,Chetpet,6.45,SIG-MSC-36,TRACK_CIRCUIT,TRACK_CIRCUIT_INSULATION_FAIL,G3(L) nylon insulated rail joint resistance dropped <100 ohms,5.3,2,39.1,2.0,7,35.7,MEDIUM_PLANNED
SMMS-DEF-0031,S_AND_T,SMMS,MPK,Chennai Park,3.11,SIG-MPK-16,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,4.4,4,220.5,1.5,9,56.0,CRITICAL_EMERGENCY
SMMS-DEF-0032,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),11.5,14,235.9,2.0,9,67.6,CRITICAL_EMERGENCY
SMMS-DEF-0033,S_AND_T,SMMS,SP,Saidapet,12.9,POINT-63,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,5.3,0,306.9,2.5,8,52.5,MEDIUM_PLANNED
SMMS-DEF-0034,S_AND_T,SMMS,SP,Saidapet,12.9,POINT-63,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,2.2,1,319.9,2.5,9,57.7,CRITICAL_EMERGENCY
SMMS-DEF-0035,S_AND_T,SMMS,POTI,Potheri,44.04,SIG-POTI-60,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,13.8,0,183.4,1.5,8,49.7,MEDIUM_PLANNED
SMMS-DEF-0036,S_AND_T,SMMS,TBM,Tambaram,29.29,SIG-TBM-43,TRACK_CIRCUIT,TRACK_CIRCUIT_INSULATION_FAIL,G3(L) nylon insulated rail joint resistance dropped <100 ohms,5.7,0,284.3,2.0,7,46.5,MEDIUM_PLANNED
SMMS-DEF-0037,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT-142,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,5.1,19,77.0,2.5,9,61.1,CRITICAL_EMERGENCY
SMMS-DEF-0038,S_AND_T,SMMS,PRGL,Perungalathur,33.0,SIG-PRGL-12,ABS_SIGNAL_POST,SIGNAL_ASPECT_LED_DEGRADATION,Main aspect LED unit luminous intensity below safety threshold,4.3,12,300.1,1.0,7,56.3,HIGH_PRIORITY
SMMS-DEF-0039,S_AND_T,SMMS,GDY,Guindy,14.66,SIG-GDY-39,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,6.0,6,269.2,3.0,6,45.7,MEDIUM_PLANNED
SMMS-DEF-0040,S_AND_T,SMMS,GI,Guduvancheri,40.25,SIG-GI-92,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",11.2,1,155.6,1.0,3,23.1,ROUTINE_CYCLE
SMMS-DEF-0041,S_AND_T,SMMS,NBK,Nungambakkam,7.79,SIG-NBK-72,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,3.2,6,286.3,1.5,2,25.4,ROUTINE_CYCLE
SMMS-DEF-0042,S_AND_T,SMMS,MPK,Chennai Park,3.52,SIG-MPK-10,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),6.5,6,272.0,2.0,7,51.0,MEDIUM_PLANNED
SMMS-DEF-0043,S_AND_T,SMMS,GDY,Guindy,15.01,POINT-35,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),7.8,1,128.8,2.0,9,50.4,CRITICAL_EMERGENCY
SMMS-DEF-0044,S_AND_T,SMMS,VDR,Vandalur,34.85,SIG-VDR-12,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",0.6,5,183.3,1.0,1,13.4,ROUTINE_CYCLE
SMMS-DEF-0045,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,4.7,5,168.2,2.5,10,59.3,CRITICAL_EMERGENCY
SMMS-DEF-0046,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.7,SIG-CGL-23,ABS_SIGNAL_POST,SIGNAL_ASPECT_LED_DEGRADATION,Main aspect LED unit luminous intensity below safety threshold,13.8,9,174.9,1.0,5,41.5,MEDIUM_PLANNED
SMMS-DEF-0047,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,4.4,10,136.1,2.5,9,56.6,CRITICAL_EMERGENCY
SMMS-DEF-0048,S_AND_T,SMMS,PV,Pallavaram,23.22,SIG-PV-48,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,10.4,0,273.6,1.5,9,57.8,CRITICAL_EMERGENCY
SMMS-DEF-0049,S_AND_T,SMMS,UPM,Urapakkam,37.76,SIG-UPM-61,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,6.0,4,183.6,2.5,8,49.8,MEDIUM_PLANNED
SMMS-DEF-0050,S_AND_T,SMMS,POTI,Potheri,43.61,SIG-POTI-65,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",9.9,9,116.0,1.0,1,17.0,ROUTINE_CYCLE
SMMS-DEF-0051,S_AND_T,SMMS,MSF,Chennai Fort,1.53,SIG-MSF-70,ABS_SIGNAL_POST,LED_UNIT_ROUTINE_INSPECTION,Quarterly photometric Lux measurement and aspect lens cleaning,4.4,6,296.9,1.0,3,31.4,ROUTINE_CYCLE
SMMS-DEF-0052,S_AND_T,SMMS,TBM,Tambaram,29.2,SIG-TBM-32,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),14.0,19,110.9,2.0,7,56.3,HIGH_PRIORITY
SMMS-DEF-0053,S_AND_T,SMMS,SKL,Singaperumal Koil,51.8,SIG-SKL-19,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,4.8,10,187.0,1.5,10,64.3,CRITICAL_EMERGENCY
SMMS-DEF-0054,S_AND_T,SMMS,MN,Meenambakkam,20.22,SIG-MN-52,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,6.1,1,240.6,1.5,2,20.3,ROUTINE_CYCLE
SMMS-DEF-0055,S_AND_T,SMMS,PZA,Pazhavanthangal,18.3,SIG-PZA-39,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,12.7,0,118.9,1.5,10,56.0,CRITICAL_EMERGENCY
SMMS-DEF-0056,S_AND_T,SMMS,MN,Meenambakkam,20.51,SIG-MN-13,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,9.7,10,254.0,3.0,6,49.6,MEDIUM_PLANNED
SMMS-DEF-0057,S_AND_T,SMMS,PZA,Pazhavanthangal,18.8,SIG-PZA-65,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,3.2,0,193.7,1.5,9,51.0,CRITICAL_EMERGENCY
SMMS-DEF-0058,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,10.8,8,40.0,2.5,8,47.7,MEDIUM_PLANNED
SMMS-DEF-0059,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.7,SIG-CGL-50,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,5.7,28,42.9,1.5,10,71.8,CRITICAL_EMERGENCY
SMMS-DEF-0060,S_AND_T,SMMS,SKL,Singaperumal Koil,51.25,SIG-SKL-21,ABS_SIGNAL_POST,SIGNAL_ASPECT_LED_DEGRADATION,Main aspect LED unit luminous intensity below safety threshold,3.2,8,151.9,1.0,7,45.3,MEDIUM_PLANNED
SMMS-DEF-0061,S_AND_T,SMMS,MS,Chennai Egmore,3.85,SIG-MS-80,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,1.8,4,197.4,3.0,6,38.8,MEDIUM_PLANNED
SMMS-DEF-0062,S_AND_T,SMMS,MSB,Chennai Beach,0.1,SIG-MSB-20,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,11.0,10,185.7,1.5,8,56.7,HIGH_PRIORITY
SMMS-DEF-0063,S_AND_T,SMMS,NBK,Nungambakkam,8.34,SIG-NBK-27,ABS_SIGNAL_POST,SIGNAL_ASPECT_LED_DEGRADATION,Main aspect LED unit luminous intensity below safety threshold,4.4,6,96.9,1.0,5,31.4,ROUTINE_CYCLE
SMMS-DEF-0064,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT-175,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),4.8,7,253.7,2.0,8,55.2,HIGH_PRIORITY
SMMS-DEF-0065,S_AND_T,SMMS,SP,Saidapet,12.9,POINT-63,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,7.7,28,203.1,2.5,10,80.6,CRITICAL_EMERGENCY
SMMS-DEF-0066,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),6.2,4,271.7,2.0,8,54.3,MEDIUM_PLANNED
SMMS-DEF-0067,S_AND_T,SMMS,STM,St. Thomas Mount,17.06,SIG-STM-93,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,14.6,32,56.5,1.5,10,79.3,CRITICAL_EMERGENCY
SMMS-DEF-0068,S_AND_T,SMMS,POTI,Potheri,43.64,SIG-POTI-32,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,14.5,23,310.5,3.0,7,69.7,HIGH_PRIORITY
SMMS-DEF-0069,S_AND_T,SMMS,UPM,Urapakkam,37.49,SIG-UPM-41,ABS_SIGNAL_POST,LED_UNIT_ROUTINE_INSPECTION,Quarterly photometric Lux measurement and aspect lens cleaning,5.2,2,100.5,1.0,2,13.7,ROUTINE_CYCLE
SMMS-DEF-0070,S_AND_T,SMMS,PRGL,Perungalathur,32.34,SIG-PRGL-33,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,10.4,0,182.8,1.5,3,23.3,ROUTINE_CYCLE
SMMS-DEF-0071,S_AND_T,SMMS,MKK,Kodambakkam,9.62,SIG-MKK-98,TRACK_CIRCUIT,TRACK_CIRCUIT_INSULATION_FAIL,G3(L) nylon insulated rail joint resistance dropped <100 ohms,1.5,1,273.6,2.0,7,45.1,MEDIUM_PLANNED
SMMS-DEF-0072,S_AND_T,SMMS,MSC,Chetpet,6.69,SIG-MSC-42,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,10.1,0,233.1,1.5,8,50.7,MEDIUM_PLANNED
SMMS-DEF-0073,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT-142,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,8.2,0,296.7,2.5,10,63.1,CRITICAL_EMERGENCY
SMMS-DEF-0074,S_AND_T,SMMS,MSF,Chennai Fort,2.09,SIG-MSF-99,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,13.5,11,178.8,3.0,7,53.1,MEDIUM_PLANNED
SMMS-DEF-0075,S_AND_T,SMMS,MS,Chennai Egmore,4.59,SIG-MS-31,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,9.9,0,28.5,3.0,7,35.4,MEDIUM_PLANNED
SMMS-DEF-0076,S_AND_T,SMMS,MN,Meenambakkam,20.51,SIG-MN-65,SIGNALLING_CABLE,CABLE_INSULATION_DROP,Underground signaling multicore cable megger value below 1 MOhm/km,2.0,3,45.1,3.0,5,25.5,ROUTINE_CYCLE
SMMS-DEF-0077,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.42,SIG-TBMS-38,ABS_SIGNAL_POST,LED_UNIT_ROUTINE_INSPECTION,Quarterly photometric Lux measurement and aspect lens cleaning,7.0,18,134.3,1.0,3,33.9,ROUTINE_CYCLE
SMMS-DEF-0078,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.01,SIG-TBMS-71,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),2.0,0,141.9,2.0,7,37.9,MEDIUM_PLANNED
SMMS-DEF-0079,S_AND_T,SMMS,GDY,Guindy,15.01,POINT-35,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),5.5,16,254.2,2.0,9,67.7,CRITICAL_EMERGENCY
SMMS-DEF-0080,S_AND_T,SMMS,CMP,Chromepet,24.95,SIG-CMP-50,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",1.5,3,28.6,1.0,3,14.4,ROUTINE_CYCLE
SMMS-DEF-0081,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT-82,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,10.3,1,65.1,2.5,10,53.2,CRITICAL_EMERGENCY
SMMS-DEF-0082,S_AND_T,SMMS,GDY,Guindy,15.01,POINT-35,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,5.3,11,145.0,2.5,9,58.2,CRITICAL_EMERGENCY
SMMS-DEF-0083,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT-175,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,3.2,9,215.5,2.5,9,59.3,CRITICAL_EMERGENCY
SMMS-DEF-0084,S_AND_T,SMMS,SP,Saidapet,12.9,POINT-63,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),6.7,20,16.4,2.0,7,49.5,MEDIUM_PLANNED
SMMS-DEF-0085,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,12.1,13,178.8,2.5,9,64.2,CRITICAL_EMERGENCY
SMMS-DEF-0086,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT-142,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),10.2,16,164.3,2.0,9,65.1,CRITICAL_EMERGENCY
SMMS-DEF-0087,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT-175,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,9.0,3,121.1,2.5,9,52.1,CRITICAL_EMERGENCY
SMMS-DEF-0088,S_AND_T,SMMS,GI,Guduvancheri,40.62,SIG-GI-88,TRACK_CIRCUIT,TRACK_CIRCUIT_INSULATION_FAIL,G3(L) nylon insulated rail joint resistance dropped <100 ohms,9.1,1,220.0,2.0,7,45.4,MEDIUM_PLANNED
SMMS-DEF-0089,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),5.9,13,58.1,2.0,8,50.7,MEDIUM_PLANNED
SMMS-DEF-0090,S_AND_T,SMMS,MSC,Chetpet,6.63,SIG-MSC-33,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,7.6,16,178.9,1.5,10,69.8,CRITICAL_EMERGENCY
SMMS-DEF-0091,S_AND_T,SMMS,NBK,Nungambakkam,8.2,SIG-NBK-46,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",2.5,46,110.9,1.0,3,53.3,MEDIUM_PLANNED
SMMS-DEF-0092,S_AND_T,SMMS,PZA,Pazhavanthangal,19.2,SIG-PZA-27,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",3.3,5,132.1,1.0,3,21.9,ROUTINE_CYCLE
SMMS-DEF-0093,S_AND_T,SMMS,CMP,Chromepet,25.26,SIG-CMP-63,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",10.8,4,150.4,1.0,1,15.0,ROUTINE_CYCLE
SMMS-DEF-0094,S_AND_T,SMMS,TBM,Tambaram,29.14,POINT-118,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,3.7,14,25.0,2.5,8,48.9,MEDIUM_PLANNED
SMMS-DEF-0095,S_AND_T,SMMS,NBK,Nungambakkam,8.43,SIG-NBK-73,ABS_SIGNAL_POST,LED_UNIT_ROUTINE_INSPECTION,Quarterly photometric Lux measurement and aspect lens cleaning,8.5,4,49.5,1.0,1,9.1,ROUTINE_CYCLE
SMMS-DEF-0096,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT-82,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,11.5,26,246.8,2.5,10,82.7,CRITICAL_EMERGENCY
SMMS-DEF-0097,S_AND_T,SMMS,TLM,Tirusulam,20.82,SIG-TLM-48,DIGITAL_AXLE_COUNTER,AXLE_COUNTER_DRIFT,High-frequency wheel sensor signal amplitude drift on rail foot,13.2,19,24.8,1.5,8,56.7,HIGH_PRIORITY
SMMS-DEF-0098,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),14.9,5,251.6,2.0,7,52.5,MEDIUM_PLANNED
