defect_id,department,system_source,station_code,station_name,chainage_km,defect_category,asset_age_years,overdue_days,estimated_repair_hours,safety_risk_score,target_mpi_score,urgency_level,predicted_mpi_score,predicted_urgency_level,priority_rank
TDMS-DEF-0135,ELECTRICAL_TRD,TDMS,PZA,Pazhavanthangal,18.08,NEUTRAL_SECTION_MAINTENANCE,15.7,26,3.5,9,81.0,CRITICAL_EMERGENCY,80.1,CRITICAL_EMERGENCY,19
SMMS-DEF-0067,S_AND_T,SMMS,STM,St. Thomas Mount,17.06,ELECTRONIC_INTERLOCKING_CARD,14.6,32,1.5,10,79.3,CRITICAL_EMERGENCY,79.9,CRITICAL_EMERGENCY,20
TDMS-DEF-0168,ELECTRICAL_TRD,TDMS,CMP,Chromepet,24.78,CONTACT_WIRE_CONDEMNING_WEAR,1.5,33,3.0,10,79.7,CRITICAL_EMERGENCY,79.5,CRITICAL_EMERGENCY,21
SMMS-DEF-0219,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.7,ELECTRONIC_INTERLOCKING_CARD,5.1,43,1.5,9,79.3,CRITICAL_EMERGENCY,79.5,CRITICAL_EMERGENCY,22
SMMS-DEF-0165,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_MACHINE_MOTOR_SLUGGISH,12.3,32,2.0,8,80.3,CRITICAL_EMERGENCY,79.0,CRITICAL_EMERGENCY,23
SMMS-DEF-0236,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,2.4,28,2.5,10,80.3,CRITICAL_EMERGENCY,78.2,CRITICAL_EMERGENCY,24
TMS-DEF-0227,ENGINEERING_CIVIL,TMS,MSF,Chennai Fort,1.46,TRACK_GEOMETRY_BAD_TGI,12.3,36,4.0,9,78.1,CRITICAL_EMERGENCY,78.1,CRITICAL_EMERGENCY,25
SMMS-DEF-0170,S_AND_T,SMMS,STM,St. Thomas Mount,17.54,AXLE_COUNTER_DRIFT,5.4,33,1.5,9,72.0,CRITICAL_EMERGENCY,77.8,CRITICAL_EMERGENCY,26
SMMS-DEF-0207,S_AND_T,SMMS,MKK,Kodambakkam,9.62,ELECTRONIC_INTERLOCKING_CARD,11.5,24,1.5,9,77.8,CRITICAL_EMERGENCY,77.8,CRITICAL_EMERGENCY,27
SMMS-DEF-0231,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,14.3,16,2.5,10,77.9,CRITICAL_EMERGENCY,77.7,CRITICAL_EMERGENCY,28
SMMS-DEF-0102,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.85,POINT_GROUND_CONNECTION_WEAR,14.5,23,2.5,9,76.9,CRITICAL_EMERGENCY,77.5,CRITICAL_EMERGENCY,29
TDMS-DEF-0019,ELECTRICAL_TRD,TDMS,PV,Pallavaram,23.6,NEUTRAL_SECTION_MAINTENANCE,2.4,23,3.5,10,69.1,CRITICAL_EMERGENCY,76.0,CRITICAL_EMERGENCY,30
SMMS-DEF-0106,S_AND_T,SMMS,CMP,Chromepet,25.18,POINT_MACHINE_MOTOR_SLUGGISH,11.1,22,2.0,10,74.8,CRITICAL_EMERGENCY,75.8,CRITICAL_EMERGENCY,31
TMS-DEF-0002,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,40.8,RAIL_FRACTURE_RISK,9.7,30,3.5,10,74.7,CRITICAL_EMERGENCY,75.5,CRITICAL_EMERGENCY,32
SMMS-DEF-0241,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_GROUND_CONNECTION_WEAR,9.5,30,2.5,9,72.9,CRITICAL_EMERGENCY,75.4,CRITICAL_EMERGENCY,33
SMMS-DEF-0113,S_AND_T,SMMS,TLM,Tirusulam,21.38,POINT_GROUND_CONNECTION_WEAR,3.6,30,2.5,10,72.4,CRITICAL_EMERGENCY,74.3,CRITICAL_EMERGENCY,34
SMMS-DEF-0146,S_AND_T,SMMS,UPM,Urapakkam,37.82,POINT_GROUND_CONNECTION_WEAR,8.7,29,2.5,9,74.1,CRITICAL_EMERGENCY,74.2,CRITICAL_EMERGENCY,35
SMMS-DEF-0014,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT_MACHINE_MOTOR_SLUGGISH,1.3,32,2.0,9,73.9,CRITICAL_EMERGENCY,74.0,CRITICAL_EMERGENCY,36
SMMS-DEF-0172,S_AND_T,SMMS,MPK,Chennai Park,2.94,ELECTRONIC_INTERLOCKING_CARD,2.0,35,1.5,9,74.1,CRITICAL_EMERGENCY,74.0,CRITICAL_EMERGENCY,37
TMS-DEF-0155,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,18.8,TRACK_GEOMETRY_BAD_TGI,4.5,42,4.0,8,75.9,CRITICAL_EMERGENCY,73.5,HIGH_PRIORITY,38
TDMS-DEF-0032,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.06,SECTION_INSULATOR_PITTING,4.1,39,2.5,8,73.2,HIGH_PRIORITY,73.1,HIGH_PRIORITY,39
SMMS-DEF-0179,S_AND_T,SMMS,SP,Saidapet,12.61,POINT_GROUND_CONNECTION_WEAR,4.2,34,2.5,9,71.3,CRITICAL_EMERGENCY,72.8,CRITICAL_EMERGENCY,40
SMMS-DEF-0090,S_AND_T,SMMS,MSC,Chetpet,6.63,ELECTRONIC_INTERLOCKING_CARD,7.6,16,1.5,10,69.8,CRITICAL_EMERGENCY,72.7,CRITICAL_EMERGENCY,41
SMMS-DEF-0230,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT_GROUND_CONNECTION_WEAR,6.3,20,2.5,9,74.0,CRITICAL_EMERGENCY,72.7,CRITICAL_EMERGENCY,42
SMMS-DEF-0250,S_AND_T,SMMS,PV,Pallavaram,22.92,ELECTRONIC_INTERLOCKING_CARD,12.8,14,1.5,10,74.3,CRITICAL_EMERGENCY,72.6,CRITICAL_EMERGENCY,43
SMMS-DEF-0120,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT_GROUND_CONNECTION_WEAR,10.5,13,2.5,10,73.3,CRITICAL_EMERGENCY,72.2,CRITICAL_EMERGENCY,44
SMMS-DEF-0214,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,26.88,POINT_MACHINE_MOTOR_SLUGGISH,13.7,20,2.0,9,72.1,CRITICAL_EMERGENCY,71.5,CRITICAL_EMERGENCY,45
TMS-DEF-0274,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,40.36,IMR_ULTRASONIC_FLAW,13.6,24,3.0,9,70.1,CRITICAL_EMERGENCY,71.2,CRITICAL_EMERGENCY,46
SMMS-DEF-0100,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,12.2,14,2.5,10,70.5,CRITICAL_EMERGENCY,70.8,CRITICAL_EMERGENCY,47
SMMS-DEF-0128,S_AND_T,SMMS,MN,Meenambakkam,20.13,POINT_GROUND_CONNECTION_WEAR,10.6,21,2.5,9,72.9,CRITICAL_EMERGENCY,70.5,CRITICAL_EMERGENCY,48
TMS-DEF-0070,ENGINEERING_CIVIL,TMS,POTI,Potheri,43.15,RAIL_CORRUGATION_WEAR,3.9,43,3.0,7,71.1,HIGH_PRIORITY,70.4,HIGH_PRIORITY,49
SMMS-DEF-0109,S_AND_T,SMMS,GI,Guduvancheri,40.67,POINT_MACHINE_MOTOR_SLUGGISH,9.6,23,2.0,8,70.8,HIGH_PRIORITY,69.5,HIGH_PRIORITY,50
TDMS-DEF-0103,ELECTRICAL_TRD,TDMS,POTI,Potheri,43.31,CONTACT_WIRE_CONDEMNING_WEAR,14.6,8,3.0,10,70.5,CRITICAL_EMERGENCY,69.1,CRITICAL_EMERGENCY,51
TDMS-DEF-0060,ELECTRICAL_TRD,TDMS,MMNK,Maraimalai Nagar,47.3,NEUTRAL_SECTION_MAINTENANCE,4.2,11,3.5,10,69.9,CRITICAL_EMERGENCY,68.7,CRITICAL_EMERGENCY,52
TMS-DEF-0089,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,20.75,RAIL_FRACTURE_RISK,9.7,21,3.5,9,68.8,CRITICAL_EMERGENCY,68.5,CRITICAL_EMERGENCY,53
SMMS-DEF-0223,S_AND_T,SMMS,TBM,Tambaram,29.4,SIGNAL_ASPECT_LED_DEGRADATION,13.5,35,1.0,6,69.1,HIGH_PRIORITY,68.5,HIGH_PRIORITY,54
SMMS-DEF-0112,S_AND_T,SMMS,SP,Saidapet,12.48,SIGNAL_ASPECT_LED_DEGRADATION,6.2,29,1.0,8,66.1,HIGH_PRIORITY,68.3,HIGH_PRIORITY,55
SMMS-DEF-0068,S_AND_T,SMMS,POTI,Potheri,43.64,CABLE_INSULATION_DROP,14.5,23,3.0,7,69.7,HIGH_PRIORITY,68.0,HIGH_PRIORITY,56
TDMS-DEF-0028,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.42,CATENARY_DROPPER_FATIGUE,13.8,26,2.0,8,68.3,HIGH_PRIORITY,67.9,HIGH_PRIORITY,57
TMS-DEF-0071,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.43,RAIL_FRACTURE_RISK,7.6,14,3.5,10,67.6,CRITICAL_EMERGENCY,67.5,CRITICAL_EMERGENCY,58
SMMS-DEF-0197,S_AND_T,SMMS,MSC,Chetpet,6.1,POINT_GROUND_CONNECTION_WEAR,6.8,8,2.5,10,70.1,CRITICAL_EMERGENCY,67.5,CRITICAL_EMERGENCY,59
SMMS-DEF-0174,S_AND_T,SMMS,VDR,Vandalur,34.73,AXLE_COUNTER_DRIFT,9.0,22,1.5,9,64.6,CRITICAL_EMERGENCY,67.1,CRITICAL_EMERGENCY,60
SMMS-DEF-0099,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT_GROUND_CONNECTION_WEAR,9.3,13,2.5,10,66.4,CRITICAL_EMERGENCY,67.0,CRITICAL_EMERGENCY,61
SMMS-DEF-0032,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_MACHINE_MOTOR_SLUGGISH,11.5,14,2.0,9,67.6,CRITICAL_EMERGENCY,66.8,CRITICAL_EMERGENCY,62
TMS-DEF-0241,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,17.88,TURNOUT_STOCK_RAIL_WEAR,6.2,28,3.5,8,66.7,HIGH_PRIORITY,66.8,HIGH_PRIORITY,63
SMMS-DEF-0195,S_AND_T,SMMS,CMP,Chromepet,25.15,ELECTRONIC_INTERLOCKING_CARD,7.8,6,1.5,10,67.4,CRITICAL_EMERGENCY,66.7,CRITICAL_EMERGENCY,64
SMMS-DEF-0184,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_MACHINE_MOTOR_SLUGGISH,14.8,9,2.0,9,67.5,CRITICAL_EMERGENCY,66.7,CRITICAL_EMERGENCY,65
TDMS-DEF-0102,ELECTRICAL_TRD,TDMS,MS,Chennai Egmore,3.92,NEUTRAL_SECTION_MAINTENANCE,14.5,7,3.5,10,66.2,CRITICAL_EMERGENCY,66.6,CRITICAL_EMERGENCY,66
TDMS-DEF-0210,ELECTRICAL_TRD,TDMS,VDR,Vandalur,34.76,CONTACT_WIRE_CONDEMNING_WEAR,7.1,15,3.0,10,73.8,CRITICAL_EMERGENCY,66.5,CRITICAL_EMERGENCY,67
TMS-DEF-0151,ENGINEERING_CIVIL,TMS,VDR,Vandalur,34.83,WELD_COLLAR_FATIGUE,9.9,23,2.5,8,62.0,HIGH_PRIORITY,66.5,HIGH_PRIORITY,68
TDMS-DEF-0046,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,19.7,CONTACT_WIRE_CONDEMNING_WEAR,16.4,6,3.0,10,69.8,CRITICAL_EMERGENCY,66.4,CRITICAL_EMERGENCY,69
TDMS-DEF-0182,ELECTRICAL_TRD,TDMS,PZA,Pazhavanthangal,19.16,SECTION_INSULATOR_PITTING,9.8,16,2.5,9,67.7,CRITICAL_EMERGENCY,66.4,CRITICAL_EMERGENCY,70
TMS-DEF-0119,ENGINEERING_CIVIL,TMS,VDR,Vandalur,34.04,WELD_COLLAR_FATIGUE,15.4,22,2.5,8,67.4,HIGH_PRIORITY,66.2,HIGH_PRIORITY,71
TMS-DEF-0116,ENGINEERING_CIVIL,TMS,SP,Saidapet,13.42,IMR_ULTRASONIC_FLAW,3.1,20,3.0,10,66.2,CRITICAL_EMERGENCY,66.1,CRITICAL_EMERGENCY,72
SMMS-DEF-0224,S_AND_T,SMMS,MMNK,Maraimalai Nagar,47.33,ELECTRONIC_INTERLOCKING_CARD,5.9,18,1.5,9,66.4,CRITICAL_EMERGENCY,66.0,CRITICAL_EMERGENCY,73
TDMS-DEF-0001,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.37,CONTACT_WIRE_CONDEMNING_WEAR,17.7,7,3.0,9,66.4,CRITICAL_EMERGENCY,65.8,CRITICAL_EMERGENCY,74
TMS-DEF-0034,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.75,TRACK_GEOMETRY_BAD_TGI,6.8,29,4.0,8,65.6,HIGH_PRIORITY,65.7,HIGH_PRIORITY,75
TDMS-DEF-0146,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.1,NEUTRAL_SECTION_MAINTENANCE,15.6,9,3.5,10,65.5,CRITICAL_EMERGENCY,65.6,CRITICAL_EMERGENCY,76
TDMS-DEF-0004,ELECTRICAL_TRD,TDMS,PV,Pallavaram,22.51,NEUTRAL_SECTION_MAINTENANCE,0.7,8,3.5,10,65.7,CRITICAL_EMERGENCY,65.5,CRITICAL_EMERGENCY,77
SMMS-DEF-0079,S_AND_T,SMMS,GDY,Guindy,15.01,POINT_MACHINE_MOTOR_SLUGGISH,5.5,16,2.0,9,67.7,CRITICAL_EMERGENCY,65.5,CRITICAL_EMERGENCY,78
SMMS-DEF-0086,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT_MACHINE_MOTOR_SLUGGISH,10.2,16,2.0,9,65.1,CRITICAL_EMERGENCY,65.5,CRITICAL_EMERGENCY,79
TDMS-DEF-0045,ELECTRICAL_TRD,TDMS,VDR,Vandalur,35.03,CONTACT_WIRE_CONDEMNING_WEAR,12.4,22,3.0,8,60.8,HIGH_PRIORITY,65.5,HIGH_PRIORITY,80
TMS-DEF-0113,ENGINEERING_CIVIL,TMS,MBM,Mambalam,10.77,TRACK_GEOMETRY_BAD_TGI,0.5,26,4.0,9,65.1,CRITICAL_EMERGENCY,65.4,CRITICAL_EMERGENCY,81
TMS-DEF-0138,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.51,IMR_ULTRASONIC_FLAW,11.7,12,3.0,10,65.6,CRITICAL_EMERGENCY,65.3,CRITICAL_EMERGENCY,82
TMS-DEF-0012,ENGINEERING_CIVIL,TMS,MBM,Mambalam,11.8,RAIL_CORRUGATION_WEAR,4.6,35,3.0,7,61.8,HIGH_PRIORITY,65.3,HIGH_PRIORITY,83
TMS-DEF-0250,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,37.15,IMR_ULTRASONIC_FLAW,11.9,19,3.0,9,66.2,CRITICAL_EMERGENCY,65.1,CRITICAL_EMERGENCY,84
TDMS-DEF-0066,ELECTRICAL_TRD,TDMS,TLM,Tirusulam,20.76,CANTILEVER_BRACKET_MISALIGN,14.2,25,2.0,7,65.4,HIGH_PRIORITY,65.1,HIGH_PRIORITY,85
TMS-DEF-0140,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,17.68,SLEEPER_CRACK_FATIGUE,10.2,35,2.5,6,64.2,HIGH_PRIORITY,64.8,HIGH_PRIORITY,86
SMMS-DEF-0237,S_AND_T,SMMS,MS,Chennai Egmore,4.19,POINT_MACHINE_MOTOR_SLUGGISH,13.2,18,2.0,9,64.3,CRITICAL_EMERGENCY,64.7,CRITICAL_EMERGENCY,87
TDMS-DEF-0196,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.46,NEUTRAL_SECTION_MAINTENANCE,15.9,22,3.5,8,64.2,HIGH_PRIORITY,64.7,HIGH_PRIORITY,88
SMMS-DEF-0053,S_AND_T,SMMS,SKL,Singaperumal Koil,51.8,ELECTRONIC_INTERLOCKING_CARD,4.8,10,1.5,10,64.3,CRITICAL_EMERGENCY,64.5,CRITICAL_EMERGENCY,89
SMMS-DEF-0180,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT_GROUND_CONNECTION_WEAR,14.6,7,2.5,9,65.7,CRITICAL_EMERGENCY,64.5,CRITICAL_EMERGENCY,90
TMS-DEF-0035,ENGINEERING_CIVIL,TMS,NBK,Nungambakkam,7.96,BALLAST_DEFICIENCY,14.9,33,4.5,6,64.5,HIGH_PRIORITY,64.3,HIGH_PRIORITY,91
TDMS-DEF-0181,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.03,NEUTRAL_SECTION_MAINTENANCE,10.3,1,3.5,10,65.9,CRITICAL_EMERGENCY,64.1,CRITICAL_EMERGENCY,92
SMMS-DEF-0119,S_AND_T,SMMS,MN,Meenambakkam,19.89,ELECTRONIC_INTERLOCKING_CARD,12.0,11,1.5,10,63.1,CRITICAL_EMERGENCY,63.9,CRITICAL_EMERGENCY,93
SMMS-DEF-0194,S_AND_T,SMMS,MN,Meenambakkam,20.36,ELECTRONIC_INTERLOCKING_CARD,10.5,2,1.5,10,65.8,CRITICAL_EMERGENCY,63.9,CRITICAL_EMERGENCY,94
SMMS-DEF-0181,S_AND_T,SMMS,PZA,Pazhavanthangal,18.8,POINT_GROUND_CONNECTION_WEAR,11.9,9,2.5,10,66.5,CRITICAL_EMERGENCY,63.6,CRITICAL_EMERGENCY,95
TMS-DEF-0170,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,41.0,IMR_ULTRASONIC_FLAW,6.1,8,3.0,10,62.6,CRITICAL_EMERGENCY,63.5,CRITICAL_EMERGENCY,96
SMMS-DEF-0136,S_AND_T,SMMS,MSC,Chetpet,6.24,POINT_MACHINE_MOTOR_SLUGGISH,12.1,12,2.0,9,66.1,CRITICAL_EMERGENCY,63.3,CRITICAL_EMERGENCY,97
TDMS-DEF-0096,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,2.77,SECTION_INSULATOR_PITTING,3.8,22,2.5,8,64.0,HIGH_PRIORITY,63.2,HIGH_PRIORITY,98
TDMS-DEF-0043,ELECTRICAL_TRD,TDMS,MKK,Kodambakkam,9.91,NEUTRAL_SECTION_MAINTENANCE,5.6,2,3.5,10,64.9,CRITICAL_EMERGENCY,63.1,CRITICAL_EMERGENCY,99
SMMS-DEF-0037,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT_GROUND_CONNECTION_WEAR,5.1,19,2.5,9,61.1,CRITICAL_EMERGENCY,63.0,CRITICAL_EMERGENCY,100
TMS-DEF-0026,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.54,RAIL_FRACTURE_RISK,5.7,15,3.5,9,61.0,CRITICAL_EMERGENCY,62.6,CRITICAL_EMERGENCY,101
SMMS-DEF-0026,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT_MACHINE_MOTOR_SLUGGISH,8.6,13,2.0,9,63.6,CRITICAL_EMERGENCY,62.5,CRITICAL_EMERGENCY,102
SMMS-DEF-0073,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT_GROUND_CONNECTION_WEAR,8.2,0,2.5,10,63.1,CRITICAL_EMERGENCY,62.4,CRITICAL_EMERGENCY,103
TMS-DEF-0287,ENGINEERING_CIVIL,TMS,MKK,Kodambakkam,9.54,IMR_ULTRASONIC_FLAW,11.4,6,3.0,10,62.0,CRITICAL_EMERGENCY,62.1,CRITICAL_EMERGENCY,104
SMMS-DEF-0085,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_GROUND_CONNECTION_WEAR,12.1,13,2.5,9,64.2,CRITICAL_EMERGENCY,62.1,CRITICAL_EMERGENCY,105
SMMS-DEF-0107,S_AND_T,SMMS,MPK,Chennai Park,3.37,ELECTRONIC_INTERLOCKING_CARD,14.5,4,1.5,9,62.3,CRITICAL_EMERGENCY,61.9,CRITICAL_EMERGENCY,106
TMS-DEF-0147,ENGINEERING_CIVIL,TMS,GDY,Guindy,15.29,RAIL_FRACTURE_RISK,7.3,9,3.5,10,60.9,CRITICAL_EMERGENCY,61.8,CRITICAL_EMERGENCY,107
SMMS-DEF-0204,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT_GROUND_CONNECTION_WEAR,13.5,16,2.5,9,59.3,CRITICAL_EMERGENCY,61.7,CRITICAL_EMERGENCY,108
SMMS-DEF-0045,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT_GROUND_CONNECTION_WEAR,4.7,5,2.5,10,59.3,CRITICAL_EMERGENCY,61.5,CRITICAL_EMERGENCY,109
SMMS-DEF-0178,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_GROUND_CONNECTION_WEAR,10.2,8,2.5,9,62.3,CRITICAL_EMERGENCY,61.5,CRITICAL_EMERGENCY,110
TDMS-DEF-0158,ELECTRICAL_TRD,TDMS,MSB,Chennai Beach,0.1,CONTACT_WIRE_CONDEMNING_WEAR,9.1,16,3.0,9,60.7,CRITICAL_EMERGENCY,61.4,CRITICAL_EMERGENCY,111
TDMS-DEF-0107,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,CONTACT_WIRE_CONDEMNING_WEAR,14.2,3,3.0,10,61.5,CRITICAL_EMERGENCY,61.3,CRITICAL_EMERGENCY,112
SMMS-DEF-0171,S_AND_T,SMMS,GDY,Guindy,15.01,POINT_GROUND_CONNECTION_WEAR,13.8,0,2.5,10,63.1,CRITICAL_EMERGENCY,61.2,CRITICAL_EMERGENCY,113
TMS-DEF-0261,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,19.47,RAIL_FRACTURE_RISK,4.4,9,3.5,10,61.4,CRITICAL_EMERGENCY,61.1,CRITICAL_EMERGENCY,114
SMMS-DEF-0011,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.56,POINT_GROUND_CONNECTION_WEAR,2.1,5,2.5,10,63.2,CRITICAL_EMERGENCY,61.1,CRITICAL_EMERGENCY,115
TMS-DEF-0299,ENGINEERING_CIVIL,TMS,TLM,Tirusulam,21.83,IMR_ULTRASONIC_FLAW,16.0,9,3.0,9,60.6,CRITICAL_EMERGENCY,61.0,CRITICAL_EMERGENCY,116
TDMS-DEF-0100,ELECTRICAL_TRD,TDMS,CMP,Chromepet,24.9,SECTION_INSULATOR_PITTING,17.8,6,2.5,9,61.2,CRITICAL_EMERGENCY,61.0,CRITICAL_EMERGENCY,117
TDMS-DEF-0129,ELECTRICAL_TRD,TDMS,PRGL,Perungalathur,32.12,CANTILEVER_BRACKET_MISALIGN,14.7,34,2.0,5,62.0,HIGH_PRIORITY,60.8,HIGH_PRIORITY,118
TDMS-DEF-0187,ELECTRICAL_TRD,TDMS,PZA,Pazhavanthangal,19.31,NEUTRAL_SECTION_MAINTENANCE,7.7,4,3.5,10,61.7,CRITICAL_EMERGENCY,60.7,CRITICAL_EMERGENCY,119
TDMS-DEF-0157,ELECTRICAL_TRD,TDMS,TBM,Tambaram,28.47,SECTION_INSULATOR_PITTING,5.2,3,2.5,10,61.4,CRITICAL_EMERGENCY,60.6,CRITICAL_EMERGENCY,120
SMMS-DEF-0221,S_AND_T,SMMS,MKK,Kodambakkam,9.52,AXLE_COUNTER_DRIFT,8.3,9,1.5,9,63.2,CRITICAL_EMERGENCY,60.6,CRITICAL_EMERGENCY,121
