defect_id,department,system_source,station_code,station_name,chainage_km,track_id,defect_category,defect_description,asset_age_years,overdue_days,gmt_traffic_load,speed_restriction_kmh,has_active_tsr,estimated_repair_hours,machinery_required,safety_risk_score,target_mpi_score,urgency_level
TMS-DEF-0016,ENGINEERING_CIVIL,TMS,MSC,Chetpet,6.76,LINE_4_MAIN_UP,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,1.5,2,31.0,0,0,2.0,OFF_TRACK_TAMPER,3,18.3,ROUTINE_CYCLE
TMS-DEF-0017,ENGINEERING_CIVIL,TMS,TBMS,Tambaram Sanatorium,26.96,LINE_1_SUBURBAN_DN,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,11.7,3,41.2,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,26.2,ROUTINE_CYCLE
TMS-DEF-0018,ENGINEERING_CIVIL,TMS,SKL,Singaperumal Koil,51.11,3RD_LINE_BIDIRECTIONAL,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,2.2,7,32.8,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,5,32.6,ROUTINE_CYCLE
TMS-DEF-0019,ENGINEERING_CIVIL,TMS,MSB,Chennai Beach,0.73,LINE_3_MAIN_DN,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,12.3,5,35.3,0,0,1.5,MANUAL_GANG_TOOLS,1,16.7,ROUTINE_CYCLE
TMS-DEF-0020,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,37.18,3RD_LINE_BIDIRECTIONAL,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,9.9,3,23.2,0,0,1.5,MANUAL_GANG_TOOLS,1,11.7,ROUTINE_CYCLE
TMS-DEF-0021,ENGINEERING_CIVIL,TMS,TBM,Tambaram,29.87,3RD_LINE_BIDIRECTIONAL,IMR_ULTRASONIC_FLAW,Immediate Removal rail flaw detected by USFD trolley,9.8,9,34.6,0,0,3.0,MANUAL_WELDING_GANG,8,53.1,MEDIUM_PLANNED
TMS-DEF-0022,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,19.36,LINE_3_MAIN_DN,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,1.4,1,47.9,0,0,2.5,AT_WELDING_CREW,6,36.0,MEDIUM_PLANNED
TMS-DEF-0023,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.44,LINE_1_SUBURBAN_DN,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,12.4,3,22.4,0,0,1.5,MANUAL_GANG_TOOLS,2,17.8,ROUTINE_CYCLE
TMS-DEF-0024,ENGINEERING_CIVIL,TMS,TBM,Tambaram,28.6,LINE_4_MAIN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,14.9,4,43.7,0,0,2.5,AT_WELDING_CREW,8,54.0,MEDIUM_PLANNED
TMS-DEF-0025,ENGINEERING_CIVIL,TMS,MKK,Kodambakkam,10.02,LINE_4_MAIN_UP,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,10.6,6,32.9,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,26.1,ROUTINE_CYCLE
TMS-DEF-0026,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.54,LINE_2_SUBURBAN_UP,RAIL_FRACTURE_RISK,Fishplate bolt hole crack / micro-fracture near heat zone,5.7,15,38.0,30,1,3.5,EMERGENCY_RAIL_REPLACEMENT,9,61.0,CRITICAL_EMERGENCY
TMS-DEF-0027,ENGINEERING_CIVIL,TMS,MBM,Mambalam,10.5,LINE_1_SUBURBAN_DN,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,1.5,2,19.1,0,0,2.5,AT_WELDING_CREW,7,36.0,MEDIUM_PLANNED
TMS-DEF-0028,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.09,LINE_3_MAIN_DN,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,8.0,7,36.3,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,26.2,ROUTINE_CYCLE
TMS-DEF-0029,ENGINEERING_CIVIL,TMS,PRGL,Perungalathur,32.76,LINE_1_SUBURBAN_DN,TURNOUT_STOCK_RAIL_WEAR,Tongue & stock rail wear at crossover points,13.0,8,24.5,0,0,3.5,PWAY_TURNOUT_CREW,6,42.0,MEDIUM_PLANNED
TMS-DEF-0030,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,40.3,LINE_2_SUBURBAN_UP,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,7.7,0,42.8,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,6,37.4,MEDIUM_PLANNED
TMS-DEF-0031,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,38.27,LINE_1_SUBURBAN_DN,IMR_ULTRASONIC_FLAW,Immediate Removal rail flaw detected by USFD trolley,6.7,9,29.5,0,0,3.0,MANUAL_WELDING_GANG,8,50.5,MEDIUM_PLANNED
TMS-DEF-0032,ENGINEERING_CIVIL,TMS,MBM,Mambalam,10.8,LINE_4_MAIN_UP,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,7.0,1,27.5,0,0,4.0,CSM_09_32_TAMPER,6,34.7,ROUTINE_CYCLE
TMS-DEF-0033,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,2.98,LINE_1_SUBURBAN_DN,IMR_ULTRASONIC_FLAW,Immediate Removal rail flaw detected by USFD trolley,10.6,0,36.4,0,0,3.0,MANUAL_WELDING_GANG,8,47.6,MEDIUM_PLANNED
TMS-DEF-0034,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.75,LINE_2_SUBURBAN_UP,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,6.8,29,34.4,30,1,4.0,CSM_09_32_TAMPER,8,65.6,HIGH_PRIORITY
TMS-DEF-0035,ENGINEERING_CIVIL,TMS,NBK,Nungambakkam,7.96,LINE_4_MAIN_UP,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,14.9,33,44.7,45,1,4.5,BALLAST_CLEANER_BCM,6,64.5,HIGH_PRIORITY
TMS-DEF-0036,ENGINEERING_CIVIL,TMS,POTI,Potheri,44.67,3RD_LINE_BIDIRECTIONAL,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,11.6,16,23.3,0,0,1.0,MANUAL_MAINTENANCE_CREW,2,26.7,ROUTINE_CYCLE
TMS-DEF-0037,ENGINEERING_CIVIL,TMS,MKK,Kodambakkam,10.43,LINE_1_SUBURBAN_DN,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,1.4,3,37.9,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,6,35.4,MEDIUM_PLANNED
TMS-DEF-0038,ENGINEERING_CIVIL,TMS,TBMS,Tambaram Sanatorium,26.81,LINE_1_SUBURBAN_DN,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,1.6,1,20.3,0,0,4.0,CSM_09_32_TAMPER,6,30.6,ROUTINE_CYCLE
TMS-DEF-0039,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,19.43,LINE_2_SUBURBAN_UP,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,9.7,11,39.1,0,0,2.0,OFF_TRACK_TAMPER,3,30.4,ROUTINE_CYCLE
TMS-DEF-0040,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,40.54,3RD_LINE_BIDIRECTIONAL,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,15.0,5,24.9,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,6,41.0,MEDIUM_PLANNED
TMS-DEF-0041,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,16.7,LINE_4_MAIN_UP,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,10.9,1,28.2,0,0,4.0,CSM_09_32_TAMPER,7,41.8,MEDIUM_PLANNED
TMS-DEF-0042,ENGINEERING_CIVIL,TMS,SKL,Singaperumal Koil,52.18,LINE_1_SUBURBAN_DN,TURNOUT_STOCK_RAIL_WEAR,Tongue & stock rail wear at crossover points,10.1,6,37.1,0,0,3.5,PWAY_TURNOUT_CREW,6,41.7,MEDIUM_PLANNED
TMS-DEF-0043,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.13,LINE_3_MAIN_DN,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,15.0,0,47.9,0,0,4.0,CSM_09_32_TAMPER,6,42.1,MEDIUM_PLANNED
TMS-DEF-0044,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,18.41,LINE_4_MAIN_UP,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,11.4,24,38.8,0,0,1.5,MANUAL_GANG_TOOLS,3,40.3,MEDIUM_PLANNED
TMS-DEF-0045,ENGINEERING_CIVIL,TMS,TBMS,Tambaram Sanatorium,26.57,LINE_3_MAIN_DN,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,2.1,2,47.9,0,0,1.0,MANUAL_MAINTENANCE_CREW,2,17.0,ROUTINE_CYCLE
TMS-DEF-0046,ENGINEERING_CIVIL,TMS,MS,Chennai Egmore,4.94,LINE_2_SUBURBAN_UP,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,4.9,10,25.2,0,0,4.5,BALLAST_CLEANER_BCM,5,34.5,ROUTINE_CYCLE
TMS-DEF-0047,ENGINEERING_CIVIL,TMS,MKK,Kodambakkam,9.98,LINE_3_MAIN_DN,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,8.1,3,48.8,0,0,1.5,MANUAL_GANG_TOOLS,1,15.9,ROUTINE_CYCLE
TMS-DEF-0048,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.28,LINE_3_MAIN_DN,IMR_ULTRASONIC_FLAW,Immediate Removal rail flaw detected by USFD trolley,0.6,7,44.2,20,1,3.0,MANUAL_WELDING_GANG,10,59.0,CRITICAL_EMERGENCY
TMS-DEF-0049,ENGINEERING_CIVIL,TMS,NBK,Nungambakkam,8.54,LINE_4_MAIN_UP,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,0.6,7,20.6,0,0,1.5,MANUAL_GANG_TOOLS,3,19.3,ROUTINE_CYCLE
TMS-DEF-0050,ENGINEERING_CIVIL,TMS,MSC,Chetpet,6.63,LINE_3_MAIN_DN,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,9.1,2,32.6,0,0,2.0,OFF_TRACK_TAMPER,2,17.5,ROUTINE_CYCLE
TMS-DEF-0051,ENGINEERING_CIVIL,TMS,GDY,Guindy,14.79,LINE_1_SUBURBAN_DN,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,3.8,34,26.5,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,5,51.0,MEDIUM_PLANNED
TMS-DEF-0052,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,19.2,LINE_4_MAIN_UP,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,12.1,14,49.5,0,0,2.0,OFF_TRACK_TAMPER,2,30.7,ROUTINE_CYCLE
TMS-DEF-0053,ENGINEERING_CIVIL,TMS,NBK,Nungambakkam,8.91,LINE_2_SUBURBAN_UP,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,0.9,28,43.0,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,6,53.6,MEDIUM_PLANNED
TMS-DEF-0054,ENGINEERING_CIVIL,TMS,CGL,Chengalpattu Junction,59.7,3RD_LINE_BIDIRECTIONAL,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,4.6,22,44.8,0,0,2.5,AT_WELDING_CREW,6,51.7,MEDIUM_PLANNED
TMS-DEF-0055,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,20.64,LINE_4_MAIN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,3.6,9,49.2,0,0,2.5,AT_WELDING_CREW,7,47.9,MEDIUM_PLANNED
TMS-DEF-0056,ENGINEERING_CIVIL,TMS,GDY,Guindy,15.52,LINE_2_SUBURBAN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,0.9,25,24.6,0,0,2.5,AT_WELDING_CREW,7,52.9,MEDIUM_PLANNED
TMS-DEF-0057,ENGINEERING_CIVIL,TMS,SP,Saidapet,13.48,LINE_3_MAIN_DN,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,10.4,0,31.6,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,6,36.5,MEDIUM_PLANNED
TMS-DEF-0058,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,17.82,LINE_1_SUBURBAN_DN,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,3.3,2,50.7,0,0,4.5,BALLAST_CLEANER_BCM,5,33.2,ROUTINE_CYCLE
TMS-DEF-0059,ENGINEERING_CIVIL,TMS,MSF,Chennai Fort,1.17,LINE_4_MAIN_UP,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,11.8,0,28.7,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,6,36.6,MEDIUM_PLANNED
TMS-DEF-0060,ENGINEERING_CIVIL,TMS,TBMS,Tambaram Sanatorium,26.75,LINE_2_SUBURBAN_UP,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,1.2,3,32.8,0,0,4.5,BALLAST_CLEANER_BCM,6,34.3,ROUTINE_CYCLE
TMS-DEF-0061,ENGINEERING_CIVIL,TMS,CGL,Chengalpattu Junction,59.7,3RD_LINE_BIDIRECTIONAL,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,3.6,4,32.7,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,21.1,ROUTINE_CYCLE
TMS-DEF-0062,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,17.32,LINE_1_SUBURBAN_DN,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,8.4,3,40.7,0,0,4.5,BALLAST_CLEANER_BCM,5,34.4,ROUTINE_CYCLE
TMS-DEF-0063,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,20.36,LINE_2_SUBURBAN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,7.0,17,50.0,50,1,2.5,AT_WELDING_CREW,8,60.4,HIGH_PRIORITY
TMS-DEF-0064,ENGINEERING_CIVIL,TMS,NBK,Nungambakkam,8.33,LINE_3_MAIN_DN,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,9.0,4,18.0,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,5,30.9,ROUTINE_CYCLE
TMS-DEF-0065,ENGINEERING_CIVIL,TMS,MKK,Kodambakkam,9.57,LINE_3_MAIN_DN,TURNOUT_STOCK_RAIL_WEAR,Tongue & stock rail wear at crossover points,7.3,3,41.0,0,0,3.5,PWAY_TURNOUT_CREW,8,49.0,MEDIUM_PLANNED
TMS-DEF-0066,ENGINEERING_CIVIL,TMS,CMP,Chromepet,25.82,LINE_2_SUBURBAN_UP,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,1.8,7,35.5,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,22.9,ROUTINE_CYCLE
TMS-DEF-0067,ENGINEERING_CIVIL,TMS,VDR,Vandalur,34.18,LINE_1_SUBURBAN_DN,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,5.3,1,45.4,0,0,1.0,MANUAL_MAINTENANCE_CREW,1,12.4,ROUTINE_CYCLE
TMS-DEF-0068,ENGINEERING_CIVIL,TMS,MSB,Chennai Beach,0.1,LINE_4_MAIN_UP,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,13.7,16,20.5,0,0,2.0,OFF_TRACK_TAMPER,3,32.1,ROUTINE_CYCLE
TMS-DEF-0069,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,37.62,3RD_LINE_BIDIRECTIONAL,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,8.2,0,26.3,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,6,34.4,ROUTINE_CYCLE
TMS-DEF-0070,ENGINEERING_CIVIL,TMS,POTI,Potheri,43.15,LINE_1_SUBURBAN_DN,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,3.9,43,45.3,50,1,3.0,RAIL_GRINDING_MACHINE_RGM,7,71.1,HIGH_PRIORITY
TMS-DEF-0071,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.43,LINE_2_SUBURBAN_UP,RAIL_FRACTURE_RISK,Fishplate bolt hole crack / micro-fracture near heat zone,7.6,14,45.2,20,1,3.5,EMERGENCY_RAIL_REPLACEMENT,10,67.6,CRITICAL_EMERGENCY
TMS-DEF-0072,ENGINEERING_CIVIL,TMS,VDR,Vandalur,34.94,3RD_LINE_BIDIRECTIONAL,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,13.4,2,36.6,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,4,30.4,ROUTINE_CYCLE
TMS-DEF-0073,ENGINEERING_CIVIL,TMS,MMNK,Maraimalai Nagar,47.54,LINE_2_SUBURBAN_UP,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,12.2,0,46.6,0,0,4.5,BALLAST_CLEANER_BCM,5,35.4,MEDIUM_PLANNED
TMS-DEF-0074,ENGINEERING_CIVIL,TMS,SKL,Singaperumal Koil,51.92,LINE_2_SUBURBAN_UP,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,4.2,16,33.0,0,0,1.0,MANUAL_MAINTENANCE_CREW,3,29.9,ROUTINE_CYCLE
TMS-DEF-0075,ENGINEERING_CIVIL,TMS,GDY,Guindy,14.59,LINE_3_MAIN_DN,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,14.3,12,20.7,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,4,34.7,ROUTINE_CYCLE
TMS-DEF-0076,ENGINEERING_CIVIL,TMS,MBM,Mambalam,11.1,LINE_2_SUBURBAN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,1.5,13,31.9,0,0,2.5,AT_WELDING_CREW,8,51.2,MEDIUM_PLANNED
TMS-DEF-0077,ENGINEERING_CIVIL,TMS,PV,Pallavaram,23.02,LINE_2_SUBURBAN_UP,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,6.5,14,44.2,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,6,46.9,MEDIUM_PLANNED
TMS-DEF-0078,ENGINEERING_CIVIL,TMS,MSB,Chennai Beach,0.57,LINE_4_MAIN_UP,TURNOUT_STOCK_RAIL_WEAR,Tongue & stock rail wear at crossover points,0.6,0,30.0,0,0,3.5,PWAY_TURNOUT_CREW,7,36.3,MEDIUM_PLANNED
TMS-DEF-0079,ENGINEERING_CIVIL,TMS,TLM,Tirusulam,21.28,LINE_2_SUBURBAN_UP,TURNOUT_STOCK_RAIL_WEAR,Tongue & stock rail wear at crossover points,3.9,4,32.8,0,0,3.5,PWAY_TURNOUT_CREW,6,36.3,MEDIUM_PLANNED
TMS-DEF-0080,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,19.78,LINE_4_MAIN_UP,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,13.5,1,49.3,0,0,4.0,CSM_09_32_TAMPER,8,52.3,MEDIUM_PLANNED
TMS-DEF-0081,ENGINEERING_CIVIL,TMS,TBM,Tambaram,28.38,LINE_4_MAIN_UP,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,9.2,19,18.9,0,0,2.0,OFF_TRACK_TAMPER,4,36.7,MEDIUM_PLANNED
TMS-DEF-0082,ENGINEERING_CIVIL,TMS,TLM,Tirusulam,20.64,LINE_4_MAIN_UP,TRACK_GEOMETRY_BAD_TGI,Track Geometry Index (TGI) below 60 requiring tamping,1.3,9,30.9,0,0,4.0,CSM_09_32_TAMPER,6,38.1,MEDIUM_PLANNED
TMS-DEF-0083,ENGINEERING_CIVIL,TMS,PV,Pallavaram,22.87,LINE_4_MAIN_UP,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,12.2,4,46.3,0,0,4.5,BALLAST_CLEANER_BCM,5,38.2,MEDIUM_PLANNED
TMS-DEF-0084,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.02,LINE_1_SUBURBAN_DN,SLEEPER_CRACK_FATIGUE,Prestressed concrete sleeper cracked under high axle load,4.0,0,20.3,0,0,2.5,SLEEPER_REPLACEMENT_TEAM,6,31.1,ROUTINE_CYCLE
TMS-DEF-0085,ENGINEERING_CIVIL,TMS,MSF,Chennai Fort,2.21,LINE_2_SUBURBAN_UP,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,13.5,3,39.1,0,0,2.5,AT_WELDING_CREW,6,41.7,MEDIUM_PLANNED
TMS-DEF-0086,ENGINEERING_CIVIL,TMS,MSC,Chetpet,6.52,LINE_1_SUBURBAN_DN,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,15.2,3,33.8,0,0,2.0,OFF_TRACK_TAMPER,3,26.5,ROUTINE_CYCLE
TMS-DEF-0087,ENGINEERING_CIVIL,TMS,SKL,Singaperumal Koil,51.27,3RD_LINE_BIDIRECTIONAL,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,15.4,13,42.4,0,0,2.0,OFF_TRACK_TAMPER,2,30.3,ROUTINE_CYCLE
TMS-DEF-0088,ENGINEERING_CIVIL,TMS,GDY,Guindy,14.38,LINE_1_SUBURBAN_DN,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,9.4,10,48.9,0,0,4.5,BALLAST_CLEANER_BCM,5,41.5,MEDIUM_PLANNED
TMS-DEF-0089,ENGINEERING_CIVIL,TMS,MN,Meenambakkam,20.75,LINE_2_SUBURBAN_UP,RAIL_FRACTURE_RISK,Fishplate bolt hole crack / micro-fracture near heat zone,9.7,21,46.2,15,1,3.5,EMERGENCY_RAIL_REPLACEMENT,9,68.8,CRITICAL_EMERGENCY
TMS-DEF-0090,ENGINEERING_CIVIL,TMS,POTI,Potheri,44.38,3RD_LINE_BIDIRECTIONAL,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,13.0,6,45.1,0,0,2.0,OFF_TRACK_TAMPER,4,34.7,ROUTINE_CYCLE
